number,doi,citekey
392,10.1103/Physics.18.113,bentmannElectronHandednessMaterial2025
393,10.3390/biom15060830,haranEffectElectronSpinDependent2025
394,10.1063/5.0262656,zhouLandauZenerTransitions2025
395,10.1002/chem.202500942,sakamakiEffectsChiralityCounter2025
396,10.1039/D5SC01660F,labellaSpinFilteringSelfassembled2025
397,10.1039/D5NR00050E,colomaRobustLargeareaMolecular2025
398,10.1073/pnas.2500584122,gorenCouplingElectronsSpin2025
399,10.1039/D4NR05229C,thapaHarnessingChiralityPlasmonics2025
400,10.1002/adma.202419052,mondalSmartDustChemical2025
401,10.1002/adom.202500060,mustaqeemMechanicallyTuneableCircularly2025
402,10.1002/chem.202404694,cabralMolecularRecognitionChiral2025
403,10.1039/D5CC00687B,chenSpinpolarizedElectronTransfer2025
404,10.1063/5.0265363,aharonySpinOrbitInteractions2025
405,10.1039/D5NR00127G,haqueSpinEffectsMetal2025
406,10.1039/D5DT00230C,onoAxialHelicalChirality2025
407,10.1063/5.0260731,taoBasisfreePhaseSpace2025
408,10.1002/chem.202404750,ishiwariHomochiralCarboxylateAnchoredTruxene2025
409,10.1002/smll.202411704,wuAnodeAlchemyMultiscale2025
410,10.1002/smll.202500783,jiDecouplingActivitySpecificity2025
411,10.1007/s11224-024-02398-y,starikovaEffectRadicalGroups2025
412,10.1038/s41570-025-00690-x,vanormanChiralLightMatter2025
413,10.1039/D4SC07927B,garces-pinedaOperandoEvidenceChiralityenhanced2025
414,10.1002/ange.202423314,sun15DChiralPerovskites2025
415,10.1002/anie.202423314,
416,10.1088/1361-648X/ada478,wangChiralityInducedSpin2025
417,10.1063/5.0259383,wuMechanisticInsightsHole2025
418,10.1126/science.adt3011,chowdhuryCircularlyPolarizedElectroluminescence2025
419,10.1002/chem.202404210,hisanoHelicalSupramolecularPolymers2025
420,10.1002/ange.202421137,benchimolChiralPd2L42025
421,10.1002/anie.202421137,benchimolChiralPd2L42025a
422,10.1039/D4CS00317A,heOptimizingPhotocatalysisElectron2025
423,10.1002/agt2.698,bernhardtUltrafastExcitonicTransitions2025
424,10.1016/j.jechem.2024.11.041,wuChiralElectrolytesRechargeable2025
425,10.1055/a-2379-9406,guoChiralPConjugatedDouble2025
426,10.1103/PhysRevB.111.115150,hirakidaSymmetryRequirementsCurrentinduced2025
427,10.26599/NR.2025.94907222,jinSynthesisStructurallyChiral2025
428,10.3390/ijms26052096,alsaadProximityEffectOptically2025
429,10.1039/D4SC08434A,liChiralPerovskitesUnique2025
430,10.1039/D4NR03998J,lvEmergingDevicesBased2025
431,10.1002/chem.202404034,okadaChiralityDependentAnisotropicNonlinear2025
432,10.1039/D4CP04129A,schneiderProbingSpinEffects2025
433,10.1002/ange.202418222,gargDualSignatureChirality2025
434,10.1002/anie.202418222,gargDualSignatureChirality2025a
435,10.1016/j.jallcom.2025.178805,jiaMagneticFieldAssisted2025
436,10.1039/D4NR04574B,carellaChiralInductionNanoscale2025
437,10.1126/science.adv0319,romaoChiralityCarte2025
438,10.1063/5.0254772,tirionHanleSpinPrecession2025
439,10.1039/D4NR04048A,abherveEnantiomorphicSingleComponent2025
440,10.1039/D4NJ03967J,shortSeriesEnantiopureBEDTTTFacetamide2025
441,10.1063/5.0235411,smorkaInfluenceNonequilibriumVibrational2025
442,10.1002/chem.202403460,katariaResponsiveChiralityTailoring2025
443,10.1007/978-3-031-97743-5_8,kahrLinversioneDiWalden2025
444,10.1016/bs.ssp.2025.09.001,SpinPhenomenaMolecular2025
445,10.1038/s41557-024-01662-2,haqueRemoteChiralityTransfer2025
446,10.1038/s41560-024-01697-2,cherevkoElectronSpinMatters2025
447,10.35848/1882-0786/ada688,nishinoEnantiospecificMirrorimagedGrowth2025
448,10.3762/bjnano.16.154,qiaoChiralPlasmonicNanostructures2025
449,10.1063/5.0242673,bianSemiclassicalNonadiabaticPhasespace2024
450,10.1039/D4NR03329A,tabassumFactorsInfluencingChiral2024
451,10.1002/adma.202410087,dingIntenseCircularDichroism2024
452,10.1002/smll.202405691,nakkaElectronSpinPolarization2024
453,10.1002/smll.202405698,wangOddEvenLawMediated2024
454,10.1038/s41598-024-77887-5,matassaChiralityNanomaterials2024
455,10.3390/magnetochemistry10120107,rabeloExploringSpinCrossoverCobaltII2024
456,10.3390/nano14231921,skrypnikMentholInducedChiralitySemiconductor2024
457,10.1063/5.0233618,taoElectronicPhasespaceHamiltonian2024
458,10.1039/D4SC05736H,guptaChiralityinducedSpinSelectivity2024
459,10.1002/adom.202401205,shpatzdayanPolarizedEmissionChiral2024
460,10.1002/sstr.202400243,zuoChiralMesostructureInducedFerroelectricity2024
461,10.1038/s42254-024-00763-8,habibovicEmergingTailoredLight2024
462,10.1098/rsta.2023.0321,kartouzianUnlockingHiddenDimension2024
463,10.1002/ange.202406497,zhuangNonalternantBNEmbeddedHelical2024
464,10.1016/j.physb.2024.416309,liChiralDependenceEffective2024
465,10.1088/2515-7655/ad6e17,driessenSynthesisGrowthSolutionprocessed2024
466,10.1039/D4CC03292F,liChiralBifacialIndacenodithiophenebased2024
467,10.1002/cphc.202400132,guoTimeDependentExtensionGrimmes2024
468,10.1039/D3CS00316G,chaePromiseChiralElectrocatalysis2024
469,10.1002/anie.202406497,zhuangNonalternantBNEmbeddedHelical2024a
470,10.1016/j.checat.2024.101112,wangControlElectronSpin2024
471,10.1016/j.commatsci.2024.113254,savinInhomogeneousElasticStretching2024
472,10.1103/PhysRevLett.133.108001,wangTransverseSpinSelectivity2024
473,10.1063/5.0222310,imahoriMolecularDonorAcceptor2024
474,10.1002/ange.202407495,predaOneHandedCovalentHelical2024
475,10.1002/anie.202407495,predaOneHandedCovalentHelical2024a
476,10.1093/nsr/nwae212,bloomChemicalPerspectiveChiral2024
477,10.1002/adma.202405685,maChiralityInducedSpinSelectivity2024
478,10.1103/PhysRevB.110.085308,katoDescriptionMolecularChirality2024
479,10.1103/PhysRevB.110.085430,wangPolaronSpinStates2024
480,10.1360/SSC-2024-0073,liuEmergingFrontiersChiral2024
481,10.1002/chem.202401413,martinHeliceneAppendedBenzothiadiazoles2024
482,10.1007/s11237-025-09818-y,torchyniukObtainingStructureOptical2024
483,10.1039/D4TC00416G,lindnerWhenPorphyrinsMeet2024
484,10.1039/D4TC01234H,taddeucciStrongChiropticalProperties2024
485,10.1016/j.cjac.2024.100391,liuRecentProgressFabrication2024
